month,tprev,tavg,prcp,wspd,pres,pprev,pdiff
2023-04-28 00:00:00,26.9,27.6,0,7.5,1010,1009.1,
2023-04-29 00:00:00,27.6,27.8,0,7,1009.1,1010,
2023-04-30 00:00:00,27.8,25.7,0,8.8,1007.8,1009.1,
2023-05-01 00:00:00,25.7,25.5,0,8.9,1007.8,1007.8,
2023-05-02 00:00:00,25.5,25.3,0.2,6.8,1008.8,1007.8,
2023-05-03 00:00:00,25.3,25.9,0,8,1010.1,1008.8,
2023-05-04 00:00:00,25.9,26.5,5.1,6.9,1009.2,1010.1,
2023-05-05 00:00:00,26.5,27.8,0,7.6,1008.3,1009.2,
2023-05-06 00:00:00,27.8,27,0.2,6.7,1008.4,1008.3,
2023-05-07 00:00:00,27,28.2,0.5,6.6,1008.7,1008.4,
2023-05-08 00:00:00,28.2,28.6,0,7.8,1008.1,1008.7,
2023-05-09 00:00:00,28.6,29.9,8.9,5.8,1008.2,1008.1,
2023-05-10 00:00:00,29.9,31.8,0,6.9,1007.1,1008.2,
2023-05-11 00:00:00,31.8,31,0,7.5,1007.3,1007.1,
2023-05-12 00:00:00,31,30.4,0,10.8,1007.8,1007.3,
2023-05-13 00:00:00,30.4,29.3,0,14,1008.8,1007.8,
2023-05-14 00:00:00,29.3,28.6,0,13.1,1008.3,1008.8,
2023-05-15 00:00:00,28.6,28,0,12.4,1009.1,1008.3,
2023-05-16 00:00:00,28,27.7,0,12.1,1010.9,1009.1,
2023-05-17 00:00:00,27.7,28.7,0,10.2,1010.6,1010.9,
2023-05-18 00:00:00,28.7,29.2,0,9.8,1011.6,1010.6,
2023-05-19 00:00:00,29.2,29.8,0,9,1010,1011.6,
2023-05-20 00:00:00,29.8,29,0,9.8,1009.6,1010,
2023-05-21 00:00:00,29,28.4,0,10.3,1010.3,1009.6,
2023-05-22 00:00:00,28.4,29,0,9.5,1010.7,1010.3,
2023-05-23 00:00:00,29,29.7,0,9.1,1010.6,1010.7,
2023-05-24 00:00:00,29.7,28.8,0,11.6,1010.6,1010.6,
2023-05-25 00:00:00,28.8,27.8,0,14.5,1011.3,1010.6,
2023-05-26 00:00:00,27.8,27.4,0.6,14.8,1011.7,1011.3,
2023-05-27 00:00:00,27.4,27.2,0,12.7,1010.8,1011.7,
2023-05-28 00:00:00,27.2,28,0,12.4,1009.7,1010.8,
2023-05-29 00:00:00,28,28.3,0,8.8,1009.3,1009.7,
2023-05-30 00:00:00,28.3,29.2,0,8,1009.3,1009.3,
2023-05-31 00:00:00,29.2,30.1,0,8.3,1008.7,1009.3,
2023-06-01 00:00:00,30.1,29.4,0,9.9,1008.6,1008.7,
2023-06-02 00:00:00,29.4,29.1,7.1,12.1,1009.4,1008.6,
2023-06-03 00:00:00,29.1,29.8,0,12.1,1009,1009.4,
2023-06-04 00:00:00,29.8,26.9,0.7,10.2,1009.3,1009,
2023-06-05 00:00:00,26.9,27.6,0,10.9,1008.3,1009.3,
2023-06-06 00:00:00,27.6,28.3,0,10.5,1007.8,1008.3,
2023-06-07 00:00:00,28.3,28.4,0,11.5,1007.7,1007.8,
2023-06-08 00:00:00,28.4,28.4,0,11.5,1008,1007.7,
2023-06-09 00:00:00,28.4,28,7,9.7,1006.4,1008,
2023-06-10 00:00:00,28,28.2,3.1,14.1,1005.1,1006.4,
2023-06-11 00:00:00,28.2,27.8,0.8,12.6,1004.9,1005.1,
2023-06-12 00:00:00,27.8,28.2,0,14.3,1004.4,1004.9,
2023-06-13 00:00:00,28.2,27.2,1,17.9,1005.7,1004.4,
2023-06-14 00:00:00,27.2,26.5,1.8,18.2,1007.5,1005.7,
2023-06-15 00:00:00,26.5,27.2,0.6,17.8,1007.8,1007.5,
2023-06-16 00:00:00,27.2,26.5,0.3,19.8,1007.2,1007.8,
2023-06-17 00:00:00,26.5,28.1,0.3,16.8,1007.6,1007.2,
2023-06-18 00:00:00,28.1,28.3,0,16.8,1007.8,1007.6,
2023-06-19 00:00:00,28.3,28.6,0,15.1,1006.8,1007.8,
2023-06-20 00:00:00,28.6,27.2,1.1,13.4,1006.1,1006.8,
2023-06-21 00:00:00,27.2,27.4,0.2,13.1,1006.4,1006.1,
2023-06-22 00:00:00,27.4,27.3,1,13,1006.6,1006.4,
2023-06-23 00:00:00,27.3,26.9,1.9,12.8,1006.3,1006.6,
2023-06-24 00:00:00,26.9,25.2,0,11.4,1005.3,1006.3,
2023-06-25 00:00:00,25.2,24.4,14,12.5,1005.5,1005.3,
2023-06-26 00:00:00,24.4,24.7,10.9,13.5,1006.9,1005.5,
2023-06-27 00:00:00,24.7,24,7.1,12.9,1006.7,1006.9,
2023-06-28 00:00:00,24,24.6,15,12.8,1007.1,1006.7,
2023-06-29 00:00:00,24.6,24.3,9.9,13.9,1007.3,1007.1,
2023-06-30 00:00:00,24.3,24,6.1,16.8,1007.3,1007.3,
2023-07-01 00:00:00,24,24.5,20.1,14,1008,1007.3,
2023-07-02 00:00:00,24.5,24.5,3,12.7,1007.4,1008,
2023-07-03 00:00:00,24.5,25.9,7.9,10.7,1005.5,1007.4,
2023-07-04 00:00:00,25.9,25.9,0.3,10.8,1003.5,1005.5,
2023-07-05 00:00:00,25.9,25.5,0.3,10.7,1002,1003.5,
2023-07-06 00:00:00,25.5,25.3,4.1,13.8,1003.4,1002,
2023-07-07 00:00:00,25.3,25.2,0.3,16,1004.6,1003.4,
2023-07-08 00:00:00,25.2,24.9,3,16.6,1006.3,1004.6,
2023-07-09 00:00:00,24.9,25.5,0,14.7,1007.3,1006.3,
2023-07-10 00:00:00,25.5,25.3,0.5,14,1007.7,1007.3,
2023-07-11 00:00:00,25.3,25.5,2,13.8,1007.8,1007.7,
2023-07-12 00:00:00,25.5,25.9,0,11.3,1006.8,1007.8,
2023-07-13 00:00:00,25.9,25.7,0,12.3,1006.6,1006.8,
2023-07-14 00:00:00,25.7,24,18.4,12.5,1008.1,1006.6,
2023-07-15 00:00:00,24,24.3,1.9,14.9,1008.5,1008.1,
2023-07-16 00:00:00,24.3,24.6,2,12.2,1007.7,1008.5,
2023-07-17 00:00:00,24.6,23.9,2,13.8,1006.6,1007.7,
2023-07-18 00:00:00,23.9,23.9,5.1,16.4,1005.1,1006.6,
2023-07-19 00:00:00,23.9,23.4,6.1,17.4,1003.2,1005.1,
2023-07-20 00:00:00,23.4,24.6,18,18.3,1003.4,1003.2,
2023-07-21 00:00:00,24.6,24.3,472.2,16.1,1005.3,1003.4,
2023-07-22 00:00:00,24.3,23.8,7.1,16.9,1005.8,1005.3,
2023-07-23 00:00:00,23.8,24.2,7.1,16.2,1005,1005.8,
2023-07-24 00:00:00,24.2,24.3,13,16.1,1005.2,1005,
2023-07-25 00:00:00,24.3,23.8,8.9,14,1007,1005.2,
2023-07-26 00:00:00,23.8,23.8,10.9,14.4,1008,1007,
2023-07-27 00:00:00,23.8,23.1,0,17,1008.2,1008,
2023-07-28 00:00:00,23.1,23.4,10.9,16.6,1008.2,1008.2,
2023-07-29 00:00:00,23.4,23.5,6.1,15.5,1008.8,1008.2,
2023-07-30 00:00:00,23.5,24.3,3,15.6,1008,1008.8,
2023-07-31 00:00:00,24.3,24.4,3,15.6,1007.5,1008,
2023-08-01 00:00:00,24.4,24.5,5.1,18.5,1007.4,1007.5,
2023-08-02 00:00:00,24.5,24.4,2,19.5,1007.9,1007.4,
2023-08-03 00:00:00,24.4,24,0.5,19.2,1007.4,1007.9,
2023-08-04 00:00:00,24,24.8,3,18.3,1008.5,1007.4,
2023-08-05 00:00:00,24.8,24.4,3,16.7,1010.4,1008.5,
2023-08-06 00:00:00,24.4,24.4,2,17.1,1009.8,1010.4,
2023-08-07 00:00:00,24.4,25.1,0.8,18.4,1008.1,1009.8,
2023-08-08 00:00:00,25.1,25.2,0,16.1,1008.4,1008.1,
2023-08-09 00:00:00,25.2,25.4,0.8,14.4,1010.6,1008.4,
2023-08-10 00:00:00,25.4,25.1,0.3,12.6,1011.3,1010.6,
2023-08-11 00:00:00,25.1,25,0,11.5,1010.7,1011.3,
2023-08-12 00:00:00,25,25,0,14,1010.4,1010.7,
2023-08-13 00:00:00,25,24.7,1,14.9,1009.2,1010.4,
2023-08-14 00:00:00,24.7,25.6,0,15.1,1009.3,1009.2,
2023-08-15 00:00:00,25.6,24.3,0.5,11.7,1010,1009.3,
2023-08-16 00:00:00,24.3,25.2,0.5,13.2,1010.2,1010,
2023-08-17 00:00:00,25.2,24.1,0,12.6,1010.6,1010.2,
2023-08-18 00:00:00,24.1,24.9,1,14.5,1009,1010.6,
2023-08-19 00:00:00,24.9,24.3,1,14.4,1007.8,1009,
2023-08-20 00:00:00,24.3,23.8,2,14,1008,1007.8,
2023-08-21 00:00:00,23.8,25.1,3,12.5,1008.4,1008,
2023-08-22 00:00:00,25.1,23.9,0,10.9,1008.6,1008.4,
2023-08-23 00:00:00,23.9,24.9,3,13,1008.4,1008.6,
2023-08-24 00:00:00,24.9,25,0,13.2,1007.6,1008.4,
2023-08-25 00:00:00,25,24.2,2,12.1,1007.7,1007.6,
2023-08-26 00:00:00,24.2,24.4,0,12.3,1009.1,1007.7,
2023-08-27 00:00:00,24.4,25.2,6.1,12.7,1010,1009.1,
2023-08-28 00:00:00,25.2,24.5,0,13.1,1009.5,1010,
2023-08-29 00:00:00,24.5,25.4,0.5,10.1,1009.2,1009.5,
2023-08-30 00:00:00,25.4,25.9,0,7.4,1010,1009.2,
2023-08-31 00:00:00,25.9,25.2,0.6,6,1009.6,1010,
2023-09-01 00:00:00,25.2,25.6,5.6,6,1009.4,1009.6,
2023-09-02 00:00:00,25.6,23.7,20.1,7.6,1009.6,1009.4,
2023-09-03 00:00:00,23.7,24.6,7.9,8.6,1008.4,1009.6,
2023-09-04 00:00:00,24.6,24.9,0,10,1007.3,1008.4,
2023-09-05 00:00:00,24.9,24.4,0.5,9.6,1006.8,1007.3,
2023-09-06 00:00:00,24.4,24.4,0.5,12.1,1006.8,1006.8,
2023-09-07 00:00:00,24.4,23.8,8.9,14.4,1006.7,1006.8,
2023-09-08 00:00:00,23.8,22.7,10.9,13.9,1007,1006.7,
2023-09-09 00:00:00,22.7,24.4,11.9,14.6,1007.1,1007,
2023-09-10 00:00:00,24.4,25.6,0,14.8,1007.1,1007.1,
2023-09-11 00:00:00,25.6,24.6,2.8,13.9,1007.6,1007.1,
2023-09-12 00:00:00,24.6,24.2,0.2,12.9,1008.4,1007.6,
